,HHID,ORIGIN_OF_TRIP,DESTINATION_OF_TRIP,TT_WALK,WALKABILITY_INDEX,TT_CYCLE,BIKEABILITY_INDEX,TT_PT,FARE_PT,WT_PT,AT_PT,AC_PT,TT_CAR,FC_CAR,PC_CAR,CC_CAR,INCOME,GENDER,AGE,CAR OWNERSHIP,CHOSEN_MODE,AV_WALK,AV_CYCLE,AV_PT,AV_CAR
20,21,6,5,44,8,26,22,46,1,3,13,5,32,1,1,8,27,1,36,0,2,1,1,1,1
21,22,3,7,34,94,13,58,58,1,17,26,0,46,3,7,9,87,2,19,1,1,1,1,1,1
22,23,6,8,11,53,50,31,23,4,15,22,0,29,1,7,2,72,2,66,0,1,1,1,1,1
23,24,2,7,34,88,44,59,55,3,7,17,5,27,1,2,7,59,1,21,1,1,1,1,1,1
24,25,1,4,39,84,36,50,10,6,12,11,1,24,2,1,2,49,1,62,1,4,1,1,1,1
25,26,5,6,31,56,28,49,10,3,19,16,4,41,1,4,6,98,2,50,0,2,1,1,1,1
26,27,2,1,23,14,36,63,15,3,2,15,1,12,1,4,5,11,1,43,0,4,1,1,1,1
27,28,1,6,14,54,38,44,57,5,12,27,2,15,1,7,8,22,2,25,0,1,1,1,1,1
28,29,1,4,49,89,38,48,42,4,7,18,5,32,3,8,10,81,1,40,0,2,1,1,1,1
29,30,7,8,25,17,18,94,29,6,2,6,1,50,2,3,10,62,2,67,1,1,1,1,1,1
30,31,5,6,44,68,41,14,16,2,5,25,4,16,2,6,2,15,2,65,1,4,1,1,1,1
31,32,7,2,21,64,24,48,10,2,13,21,4,15,2,6,2,15,1,62,0,4,1,1,1,1
32,33,5,4,42,27,40,47,18,3,20,18,1,57,3,4,2,69,1,26,0,2,1,1,1,1
33,34,6,4,51,10,60,68,21,4,11,6,3,40,1,5,7,39,1,63,1,1,1,1,1,1
34,35,2,4,28,83,55,82,50,1,13,8,4,27,1,8,6,16,1,52,1,1,1,1,1,1
35,36,9,6,30,19,37,57,13,4,7,10,1,60,2,3,2,41,2,40,0,1,1,1,1,1
36,37,9,5,29,33,42,45,35,3,16,19,3,33,1,6,5,91,1,50,0,1,1,1,1,1
37,38,6,4,39,7,29,58,20,1,10,17,5,46,1,7,9,98,2,34,1,2,1,1,1,1
38,39,1,2,53,42,42,49,47,3,16,22,3,16,2,1,10,97,1,57,0,2,1,1,1,1
39,40,1,2,56,90,59,87,42,7,15,19,5,25,3,3,10,100,2,67,0,4,1,1,1,1
40,41,2,6,21,56,53,85,44,6,4,16,5,28,2,3,4,19,2,52,0,4,1,1,1,1
41,42,1,2,20,8,34,81,43,6,6,11,2,51,2,8,5,52,1,53,0,2,1,1,1,1
42,43,3,4,59,52,50,31,52,3,2,29,0,19,2,6,10,72,1,27,1,2,1,1,1,1
43,44,8,8,52,18,21,16,58,3,15,8,0,44,2,8,6,74,1,51,1,2,1,1,1,1
44,45,9,7,23,90,42,27,26,7,9,28,5,24,3,1,2,72,1,65,1,1,1,1,1,1
45,46,5,7,10,7,22,24,56,7,7,19,4,14,3,3,6,18,1,59,1,4,1,1,1,1
46,47,2,8,42,44,50,61,35,7,7,8,0,51,1,7,10,65,2,27,1,1,1,1,1,1
47,48,3,5,31,11,38,71,41,2,11,12,0,54,2,1,9,19,1,18,0,1,1,1,1,1
48,49,1,8,24,99,32,59,19,1,8,13,3,58,2,8,8,87,2,49,1,1,1,1,1,1
49,50,3,9,28,64,50,8,32,1,9,22,5,60,3,4,7,97,1,65,1,1,1,1,1,1
50,51,3,5,29,92,56,47,51,6,19,14,0,25,1,7,3,66,2,63,1,1,1,1,1,1
51,52,2,7,57,96,56,97,41,5,19,22,4,53,1,5,5,57,1,53,0,1,1,1,1,1
52,53,8,4,18,67,13,38,37,7,16,5,4,31,3,1,6,59,1,26,1,1,1,1,1,1
53,54,4,5,36,31,37,94,33,4,16,13,0,19,3,2,7,25,1,19,1,3,1,1,1,1
54,55,5,7,29,3,34,93,12,3,12,22,4,59,3,2,6,11,2,51,0,2,1,1,1,1
55,56,3,6,22,72,23,47,21,3,13,14,2,24,2,4,4,75,2,24,1,1,1,1,1,1
56,57,7,9,23,23,45,59,31,3,14,15,5,17,1,1,4,13,2,34,0,4,1,1,1,1
57,58,5,2,56,65,11,72,38,7,15,27,4,11,3,7,8,16,2,42,0,2,1,1,1,1
58,59,9,4,48,33,10,41,44,3,10,29,2,17,2,3,9,93,1,38,1,2,1,1,1,1
59,60,1,6,31,57,34,41,38,1,19,17,0,32,1,4,6,18,2,24,0,4,1,1,1,1
60,61,9,3,52,34,10,39,11,5,9,18,1,20,1,3,6,28,1,45,1,2,1,1,1,1
61,62,2,6,13,90,46,9,36,3,4,24,2,50,3,3,10,20,1,46,0,1,1,1,1,1
62,63,7,5,23,7,13,51,25,4,4,17,1,20,3,1,10,88,1,60,1,2,1,1,1,1
63,64,2,3,30,43,27,33,35,1,13,21,2,21,1,2,2,64,2,70,0,1,1,1,1,1
64,65,5,5,22,75,10,30,48,6,16,12,0,47,3,3,3,84,2,29,1,1,1,1,1,1
65,66,1,8,18,75,16,16,30,2,8,12,0,48,1,3,5,63,1,50,0,1,1,1,1,1
66,67,6,6,15,44,53,45,35,5,8,27,2,26,2,8,10,26,2,69,0,1,1,1,1,1
67,68,1,5,59,82,31,23,54,2,3,16,0,28,3,7,8,60,1,57,0,2,1,1,1,1
68,69,5,9,57,67,18,86,51,5,2,8,3,45,2,8,6,42,1,36,0,2,1,1,1,1
69,70,2,9,39,28,45,46,36,7,10,15,2,54,3,5,8,94,1,53,0,1,1,1,1,1
70,71,9,3,41,42,12,8,26,2,16,17,4,36,1,1,3,38,1,27,0,2,1,1,1,1
71,72,5,5,12,53,36,42,42,5,20,21,3,59,1,6,6,42,1,42,1,1,1,1,1,1
72,73,5,6,32,38,14,78,27,1,9,14,1,43,2,3,2,20,2,24,0,3,1,1,1,1
73,74,7,7,31,61,37,74,47,1,11,27,1,34,3,3,4,31,2,37,0,1,1,1,1,1
74,75,4,3,60,60,12,62,45,7,7,6,0,44,1,7,4,56,2,66,1,2,1,1,1,1
75,76,9,1,38,74,51,16,50,2,5,30,4,26,3,7,2,96,2,41,0,2,1,1,1,1
76,77,9,1,12,77,23,36,14,4,13,30,2,32,3,3,5,98,2,53,0,1,1,1,1,1
77,78,4,1,36,88,25,49,14,5,13,22,5,43,2,4,5,57,2,67,1,1,1,1,1,1
78,79,2,3,35,43,33,90,32,6,10,11,1,59,2,4,3,64,2,53,1,1,1,1,1,1
79,80,5,4,11,30,55,98,22,3,3,24,1,35,2,6,4,35,2,42,1,1,1,1,1,1
80,81,1,4,18,85,27,62,41,6,2,11,3,17,2,5,4,58,2,49,0,1,1,1,1,1
81,82,3,5,13,68,54,72,41,1,8,28,2,14,3,1,8,48,1,47,0,1,1,1,1,1
82,83,3,2,37,23,19,23,33,7,16,12,5,49,1,7,3,50,1,29,1,2,1,1,1,1
83,84,2,5,40,47,11,33,37,1,5,10,2,47,3,4,6,76,1,26,1,2,1,1,1,1
84,85,4,8,44,86,29,15,38,6,4,23,3,45,2,7,8,41,1,52,0,2,1,1,1,1
85,86,3,8,58,79,40,42,53,4,12,12,5,18,1,6,8,97,2,38,0,4,1,1,1,1
86,87,1,8,11,98,13,40,10,1,5,30,0,16,1,6,4,72,1,60,1,1,1,1,1,1
87,88,2,6,11,73,13,63,34,1,5,29,5,21,3,8,10,32,1,27,0,1,1,1,1,1
88,89,8,8,45,5,39,39,11,1,8,12,2,13,3,8,9,32,2,45,1,2,1,1,1,1
89,90,9,9,19,95,54,3,34,7,13,17,5,58,3,7,10,22,2,60,1,2,1,1,1,1
90,91,1,1,27,33,23,37,47,2,12,11,5,45,3,7,4,74,1,41,0,2,1,1,1,1
91,92,1,2,30,65,36,59,45,6,18,16,0,31,1,5,3,38,2,43,1,2,1,1,1,1
92,93,6,8,21,73,31,65,60,2,16,21,4,41,1,5,9,56,1,65,0,1,1,1,1,1
93,94,5,2,34,86,42,54,50,3,12,30,1,47,2,1,6,23,1,18,0,2,1,1,1,1
94,95,2,9,37,48,21,30,33,4,16,16,0,23,1,1,4,47,2,30,0,4,1,1,1,1
95,96,1,5,57,51,15,74,28,2,12,19,3,51,3,8,6,77,2,48,0,2,1,1,1,1
96,97,1,6,54,4,49,6,24,3,13,20,2,24,1,6,3,59,2,54,0,4,1,1,1,1
97,98,6,5,56,23,58,2,39,5,12,19,1,44,2,7,2,86,1,64,0,1,1,1,1,1
98,99,4,5,29,48,29,97,29,7,19,17,0,18,2,4,9,35,1,23,0,2,1,1,1,1
99,100,8,5,39,85,19,28,22,3,9,12,0,56,3,8,4,93,2,63,0,2,1,1,1,1
100,101,3,8,33,54,56,51,43,4,11,25,5,43,1,4,3,52,1,50,0,1,1,1,1,1
101,102,7,8,11,54,49,13,59,3,9,19,0,54,2,4,5,72,1,26,0,1,1,1,1,1
102,103,8,6,40,53,29,72,25,2,16,11,1,49,3,5,5,49,1,31,1,2,1,1,1,1
103,104,8,7,54,50,59,7,14,4,20,30,3,42,2,4,10,18,2,34,0,1,1,1,1,1
104,105,2,6,52,87,25,45,21,1,7,20,4,27,1,7,4,58,2,18,0,2,1,1,1,1
105,106,7,8,58,47,52,75,25,6,15,20,2,59,2,4,4,42,2,46,1,4,1,1,1,1
106,107,6,4,36,26,48,74,37,1,3,5,4,48,1,5,10,57,2,43,1,1,1,1,1,1
107,108,7,9,17,26,37,33,25,7,9,15,2,35,2,7,4,13,2,42,1,1,1,1,1,1
108,109,3,7,28,63,44,8,45,6,10,7,1,39,1,3,7,23,1,39,0,2,1,1,1,1
109,110,1,2,56,9,46,83,23,4,8,18,3,40,3,7,9,93,1,26,0,2,1,1,1,1
110,111,8,8,58,95,36,93,24,1,13,30,1,36,3,8,10,23,1,70,0,2,1,1,1,1
111,112,8,2,31,72,27,33,40,3,18,22,1,37,3,4,5,39,2,56,0,4,1,1,1,1
112,113,9,3,37,15,58,24,46,3,4,29,5,17,1,7,9,25,2,47,0,4,1,1,1,1
113,114,7,4,57,3,43,1,19,6,9,26,3,60,2,2,6,30,2,55,0,2,1,1,1,1
114,115,6,5,35,63,37,58,51,1,7,5,4,38,2,5,5,76,2,37,1,2,1,1,1,1
115,116,2,8,58,31,48,63,49,6,4,22,2,21,1,4,7,85,1,39,0,2,1,1,1,1
116,117,7,3,18,50,57,50,55,4,11,25,0,49,3,8,7,44,2,50,1,1,1,1,1,1
117,118,3,8,30,41,18,50,28,1,7,15,4,53,3,2,6,25,1,34,1,1,1,1,1,1
118,119,4,6,55,62,40,97,10,1,12,14,5,38,2,7,3,83,2,43,0,3,1,1,1,1
119,120,8,5,31,8,54,36,12,4,16,13,0,51,2,8,3,79,1,30,1,1,1,1,1,1
120,121,5,2,25,89,54,79,32,5,19,11,1,56,1,8,8,100,1,38,0,1,1,1,1,1
121,122,5,1,44,16,11,28,31,6,20,27,0,22,1,2,10,27,2,68,0,2,1,1,1,1
122,123,6,4,29,31,27,8,22,2,5,18,0,21,1,4,2,71,1,52,1,2,1,1,1,1
123,124,1,9,31,100,53,44,54,5,4,20,5,57,3,2,4,19,2,18,1,1,1,1,1,1
124,125,5,6,48,11,13,57,29,5,8,15,0,58,2,5,8,16,2,35,1,2,1,1,1,1
125,126,3,1,40,96,13,25,19,5,16,7,5,22,1,8,2,76,2,40,1,4,1,1,1,1
126,127,6,8,57,74,43,65,27,4,20,7,0,31,2,5,2,85,2,22,1,2,1,1,1,1
127,128,7,8,32,80,39,26,27,5,7,20,1,13,3,1,4,90,2,67,1,4,1,1,1,1
128,129,8,5,57,42,38,44,36,2,12,18,0,41,1,3,8,15,2,28,0,2,1,1,1,1
129,130,5,2,40,35,47,71,27,1,5,29,1,50,1,3,4,60,2,28,0,1,1,1,1,1
130,131,2,4,37,60,52,26,10,1,7,29,2,54,2,1,3,73,2,44,1,3,1,1,1,1
131,132,8,3,52,93,25,78,41,4,12,9,5,59,3,5,10,13,2,60,0,2,1,1,1,1
132,133,7,4,54,69,14,9,17,4,4,5,2,18,3,7,8,38,2,55,0,2,1,1,1,1
133,134,6,4,26,50,56,47,14,4,15,28,1,18,2,5,5,65,1,34,0,4,1,1,1,1
134,135,1,8,48,48,32,69,25,5,13,7,2,17,2,8,9,20,2,27,1,2,1,1,1,1
135,136,9,4,44,23,22,37,33,3,18,6,3,48,1,7,10,43,1,26,0,2,1,1,1,1
136,137,1,7,52,22,50,44,23,2,14,25,2,34,1,8,7,44,1,23,0,2,1,1,1,1
137,138,3,5,10,8,37,34,26,3,5,13,3,53,3,5,8,22,1,45,0,1,1,1,1,1
138,139,6,5,49,24,46,28,36,5,15,10,3,45,2,1,2,43,1,69,0,2,1,1,1,1
139,140,1,2,51,96,54,22,28,5,18,13,3,39,2,5,7,56,1,23,1,2,1,1,1,1
140,141,6,8,58,6,53,37,14,7,13,23,2,12,2,5,2,86,2,64,0,4,1,1,1,1
141,142,9,7,47,56,57,68,11,7,8,16,3,18,1,4,5,12,2,62,0,4,1,1,1,1
142,143,2,4,13,99,34,72,41,5,18,9,3,54,1,4,4,61,2,43,1,1,1,1,1,1
143,144,3,2,36,34,17,94,11,1,5,30,5,15,1,7,3,86,1,32,1,2,1,1,1,1
144,145,5,2,59,57,10,26,45,5,12,17,4,58,1,4,9,28,1,20,1,2,1,1,1,1
145,146,7,3,11,61,28,74,29,2,11,18,3,24,2,5,9,18,2,64,0,1,1,1,1,1
146,147,1,4,21,9,37,91,10,3,15,13,1,28,1,6,7,70,1,28,1,1,1,1,1,1
147,148,3,7,13,80,32,56,10,7,3,14,4,14,1,5,10,16,2,19,1,2,1,1,1,1
148,149,5,6,12,13,33,82,32,4,19,10,1,20,1,3,7,70,2,69,1,4,1,1,1,1
149,150,8,2,48,54,60,83,35,5,14,18,2,18,2,3,10,67,1,48,1,4,1,1,1,1
150,151,6,1,42,14,41,55,58,1,4,6,4,37,3,1,5,86,1,37,1,3,1,1,1,1
151,152,4,5,19,65,31,46,47,2,5,12,4,19,3,8,3,64,2,20,0,1,1,1,1,1
152,153,1,7,56,17,32,74,16,4,12,20,0,54,3,8,9,75,2,20,1,2,1,1,1,1
153,154,2,3,27,24,42,95,57,5,8,9,5,51,1,2,7,90,2,40,0,2,1,1,1,1
154,155,2,2,58,63,17,65,47,5,6,28,2,47,3,3,10,46,2,41,1,2,1,1,1,1
155,156,9,8,56,90,57,9,52,6,19,29,0,25,3,2,4,10,1,57,1,1,1,1,1,1
156,157,4,5,37,86,52,52,56,2,17,15,3,37,2,4,9,15,1,53,0,4,1,1,1,1
157,158,3,5,54,66,41,72,13,3,15,20,4,37,1,2,8,65,1,53,0,2,1,1,1,1
158,159,9,9,48,23,57,46,44,4,13,7,1,20,1,6,3,50,2,63,0,2,1,1,1,1
159,160,1,9,34,48,42,43,42,6,4,7,1,37,2,4,8,79,1,41,1,1,1,1,1,1
160,161,2,7,10,46,31,63,45,4,14,30,0,23,2,7,7,49,1,57,0,1,1,1,1,1
161,162,8,7,17,73,18,65,49,5,9,19,1,31,2,7,5,34,1,60,0,2,1,1,1,1
162,163,1,3,38,82,29,55,29,3,18,23,5,47,2,5,2,54,2,34,1,2,1,1,1,1
163,164,7,6,56,31,24,11,47,7,7,11,3,39,3,3,6,20,1,60,1,2,1,1,1,1
164,165,6,4,13,92,43,59,44,1,6,7,3,34,1,1,4,63,1,26,0,1,1,1,1,1
165,166,9,5,13,58,24,97,36,1,20,13,5,47,2,7,3,80,1,55,1,1,1,1,1,1
166,167,2,9,10,76,41,29,56,6,5,30,0,28,2,7,2,60,2,39,0,1,1,1,1,1
167,168,5,8,60,5,49,1,46,4,4,22,3,41,1,2,10,55,1,70,1,4,1,1,1,1
168,169,5,3,41,80,54,81,58,7,6,17,4,35,2,4,4,71,1,64,1,1,1,1,1,1
169,170,3,8,13,34,21,34,52,1,8,13,2,54,2,2,4,78,1,31,0,2,1,1,1,1
170,171,3,1,13,69,30,32,22,4,17,25,3,47,3,1,3,84,2,54,1,2,1,1,1,1
171,172,4,5,36,30,57,10,50,5,3,10,5,23,3,8,5,95,2,61,1,1,1,1,1,1
172,173,5,2,20,82,38,1,24,2,11,22,3,46,1,4,3,94,1,42,0,1,1,1,1,1
173,174,2,5,54,54,31,32,24,2,11,5,1,13,3,8,6,58,2,43,1,3,1,1,1,1
174,175,7,9,24,80,29,47,10,5,15,16,1,32,1,3,3,11,2,68,0,1,1,1,1,1
175,176,4,5,10,25,30,62,16,7,5,13,3,51,1,5,6,20,1,69,1,1,1,1,1,1
176,177,5,7,60,82,36,10,39,3,6,11,1,29,2,7,2,100,1,23,0,4,1,1,1,1
177,178,6,2,58,97,18,98,29,1,4,12,3,56,3,2,8,78,1,18,1,2,1,1,1,1
178,179,4,2,30,79,47,27,37,7,20,22,1,12,1,5,4,72,1,29,1,4,1,1,1,1
179,180,5,8,17,63,25,50,40,2,8,21,1,32,1,5,9,36,1,56,0,1,1,1,1,1
180,181,2,9,13,68,10,53,33,2,15,17,4,28,3,8,7,20,1,31,0,1,1,1,1,1
181,182,8,3,33,52,47,74,16,1,8,14,0,14,3,5,8,39,1,54,1,3,1,1,1,1
182,183,2,4,41,60,11,95,10,1,13,7,4,35,1,4,5,42,2,36,0,2,1,1,1,1
183,184,4,8,59,26,34,92,33,6,4,19,3,15,1,5,4,79,1,51,0,4,1,1,1,1
184,185,4,1,31,84,33,93,37,4,11,17,2,34,1,6,5,41,1,39,1,2,1,1,1,1
185,186,8,6,21,39,45,38,50,4,17,30,2,45,1,8,9,40,2,29,0,1,1,1,1,1
186,187,7,1,57,26,34,4,47,1,16,7,0,18,3,3,8,86,2,40,1,1,1,1,1,1
187,188,3,2,48,24,10,20,47,7,8,17,0,11,3,4,10,15,2,41,0,1,1,1,1,1
188,189,5,9,59,59,45,20,52,4,13,8,0,38,3,8,7,41,2,22,0,2,1,1,1,1
189,190,1,1,59,53,15,30,53,6,15,26,5,55,1,8,8,82,2,29,0,2,1,1,1,1
190,191,5,9,55,66,30,72,22,4,9,20,3,23,2,5,10,79,1,60,0,2,1,1,1,1
191,192,2,1,20,81,36,72,21,4,19,28,4,18,1,7,8,73,1,20,1,1,1,1,1,1
192,193,6,9,28,21,59,35,57,5,11,9,2,40,1,6,4,32,2,69,0,1,1,1,1,1
193,194,4,1,34,11,43,75,14,4,19,12,3,11,2,6,5,79,2,22,0,4,1,1,1,1
194,195,3,9,25,68,27,28,35,2,10,28,4,19,1,4,3,25,2,31,0,4,1,1,1,1
195,196,5,8,55,77,35,15,52,3,16,24,4,17,1,7,8,43,2,70,1,1,1,1,1,1
196,197,9,3,47,1,58,36,36,2,15,9,1,15,1,3,7,100,2,48,0,2,1,1,1,1
197,198,1,8,26,80,39,75,54,1,5,14,3,50,2,4,10,18,1,34,0,1,1,1,1,1
198,199,9,8,12,59,13,43,39,6,8,15,2,42,2,5,2,78,2,32,0,1,1,1,1,1
199,200,6,5,58,49,32,91,50,2,11,27,2,44,3,8,7,64,2,60,1,2,1,1,1,1
200,201,3,6,32,52,31,58,17,3,6,7,3,37,2,8,8,70,2,21,0,2,1,1,1,1
201,202,5,7,53,51,17,44,24,6,19,13,0,54,2,5,8,15,2,22,1,1,1,1,1,1
202,203,6,9,11,76,58,28,31,7,11,19,0,48,1,6,9,15,2,61,0,1,1,1,1,1
203,204,2,7,47,64,16,59,30,5,6,6,2,16,2,1,9,40,2,32,1,2,1,1,1,1
204,205,1,2,51,41,53,100,11,1,16,9,3,29,1,8,4,71,2,61,1,3,1,1,1,1
205,206,5,5,42,97,46,79,32,7,14,27,1,45,3,7,7,50,1,25,1,2,1,1,1,1
206,207,7,5,53,43,19,65,60,3,17,24,1,22,1,4,10,92,1,31,1,2,1,1,1,1
207,208,3,7,49,86,48,63,18,7,19,22,1,50,1,7,6,43,2,18,0,2,1,1,1,1
208,209,8,8,27,14,53,31,29,7,15,12,0,38,1,8,5,73,2,55,1,1,1,1,1,1
209,210,3,9,22,4,40,93,39,4,15,20,1,10,2,4,8,66,1,54,1,2,1,1,1,1
210,211,7,3,18,17,12,91,34,3,2,8,5,54,3,6,4,93,1,32,0,2,1,1,1,1
211,212,8,3,59,4,57,59,24,2,3,15,4,54,1,4,10,28,2,39,0,2,1,1,1,1
212,213,1,5,42,15,23,51,27,3,10,18,2,31,1,7,5,43,2,67,1,2,1,1,1,1
213,214,3,4,24,71,18,87,46,2,16,26,1,26,1,3,2,67,2,32,1,1,1,1,1,1
214,215,5,7,25,86,41,53,48,5,3,16,3,59,2,2,4,90,1,39,1,1,1,1,1,1
215,216,1,6,46,50,42,61,40,1,11,22,5,38,2,5,4,22,2,25,0,1,1,1,1,1
216,217,4,1,57,18,32,4,13,4,4,25,2,29,1,5,2,47,1,51,0,4,1,1,1,1
217,218,5,5,19,10,18,86,17,3,7,18,3,25,3,6,3,12,2,55,1,2,1,1,1,1
218,219,1,1,57,51,44,48,39,6,13,17,5,56,2,5,7,63,1,59,0,2,1,1,1,1
219,220,5,2,52,54,23,70,44,7,14,21,4,32,2,8,2,23,1,65,0,2,1,1,1,1
220,221,2,9,18,49,39,61,15,2,13,14,3,25,1,5,2,67,2,65,1,1,1,1,1,1
221,222,4,6,55,16,39,98,25,1,4,10,3,49,1,4,5,74,2,21,1,2,1,1,1,1
222,223,9,8,25,65,21,56,50,5,8,20,1,60,3,8,7,62,2,25,1,2,1,1,1,1
223,224,5,8,37,48,47,38,26,1,8,9,1,23,3,4,4,28,2,42,1,4,1,1,1,1
224,225,2,4,28,99,24,79,46,5,20,20,4,25,2,4,2,93,2,19,0,4,1,1,1,1
225,226,3,2,58,71,37,3,20,5,16,25,3,46,2,5,10,52,2,46,0,2,1,1,1,1
226,227,7,1,54,61,41,46,20,3,10,15,2,18,2,2,10,30,2,37,0,2,1,1,1,1
227,228,8,9,13,73,54,100,17,7,3,17,3,34,1,7,10,18,2,57,1,1,1,1,1,1
228,229,2,3,47,47,52,64,19,3,2,27,4,15,1,1,8,22,1,40,1,4,1,1,1,1
229,230,2,6,45,78,55,61,21,2,20,17,4,26,2,2,7,79,2,65,0,4,1,1,1,1
230,231,5,6,59,69,44,10,17,5,7,30,3,37,3,7,7,62,2,54,0,1,1,1,1,1
231,232,8,1,39,35,32,64,12,4,11,10,3,42,3,5,6,36,2,29,1,2,1,1,1,1
232,233,6,9,30,69,25,29,21,7,20,20,3,30,1,1,2,23,1,38,1,4,1,1,1,1
233,234,1,7,10,61,22,44,52,5,16,13,1,43,1,1,8,20,2,62,0,1,1,1,1,1
234,235,3,2,38,57,17,69,22,6,15,17,1,20,2,5,10,32,2,22,0,2,1,1,1,1
235,236,2,1,21,47,43,14,20,2,10,16,0,54,2,5,10,61,2,70,0,1,1,1,1,1
236,237,7,5,54,55,29,46,52,5,4,7,4,37,1,7,5,44,2,69,1,2,1,1,1,1
237,238,1,9,33,85,48,30,52,1,10,15,0,55,1,3,9,43,1,40,0,3,1,1,1,1
238,239,9,1,36,62,14,58,10,4,3,23,1,38,1,3,3,29,2,62,1,2,1,1,1,1
239,240,6,7,35,39,30,90,46,6,3,26,4,44,1,4,5,84,1,19,1,2,1,1,1,1
240,241,3,5,58,30,25,65,35,1,19,13,2,24,1,3,6,28,2,51,1,4,1,1,1,1
241,242,4,7,29,2,49,91,29,6,16,20,1,40,2,1,2,20,1,20,1,4,1,1,1,1
242,243,5,3,53,58,17,9,56,5,4,25,2,30,2,6,10,30,2,66,1,2,1,1,1,1
243,244,1,6,46,55,34,34,33,6,19,23,0,31,3,1,9,35,2,19,1,1,1,1,1,1
244,245,1,6,17,66,37,92,24,3,20,27,0,37,1,8,9,73,1,61,1,1,1,1,1,1
245,246,2,2,22,76,56,59,11,1,6,7,0,54,1,7,3,27,1,52,1,1,1,1,1,1
246,247,1,2,43,50,53,75,35,5,17,17,5,53,3,6,4,92,2,35,1,1,1,1,1,1
247,248,1,9,41,66,16,17,35,6,18,24,2,32,1,8,3,45,1,34,0,2,1,1,1,1
248,249,4,5,51,74,29,10,43,2,10,8,1,10,2,1,7,33,1,30,0,4,1,1,1,1
249,250,5,2,51,20,40,66,48,7,12,24,2,12,1,2,9,56,2,36,1,4,1,1,1,1
250,251,5,8,44,70,45,70,39,1,2,21,4,17,3,7,7,61,2,42,1,4,1,1,1,1
251,252,9,9,46,41,22,82,29,7,13,26,0,52,2,5,5,37,2,25,1,2,1,1,1,1
252,253,9,9,15,45,39,63,18,4,15,12,4,11,3,2,7,92,1,36,0,1,1,1,1,1
253,254,4,6,56,68,32,81,54,7,4,7,2,53,1,2,2,45,1,60,0,2,1,1,1,1
254,255,9,1,13,2,23,9,16,5,2,10,4,44,2,4,8,80,2,27,1,4,1,1,1,1
255,256,8,4,18,9,14,40,17,1,20,30,1,34,1,1,7,36,1,52,0,1,1,1,1,1
256,257,5,4,54,60,39,29,52,4,8,7,2,54,1,2,2,59,1,27,0,2,1,1,1,1
257,258,2,9,50,52,13,1,19,5,10,15,0,53,1,6,2,85,2,68,1,2,1,1,1,1
258,259,6,3,38,23,43,47,49,7,14,21,5,25,1,5,3,86,1,37,0,1,1,1,1,1
259,260,4,9,18,60,57,59,10,5,15,26,0,37,3,7,3,69,1,42,1,1,1,1,1,1
260,261,7,1,27,95,13,75,42,2,10,13,0,48,1,7,4,80,1,49,1,1,1,1,1,1
